ensembl_gene_id	hgnc_symbol	D1 CD14 Neg C	D1 CD14 miR-155	D2 CD14 Neg C	D2 CD14 miR-155	D3 CD14 Neg C	D3 CD14 miR-155	D4 CD14 Neg C	D4 CD14 miR-155	D5 CD14 Neg C	D5 CD14 miR-155
ENSG00000000419	ENSG00000000419	DPM1	25.7646418552272	24.9131914866784	22.5437184687217	22.4568257035261	24.9600678894505	26.0068690395327	19.3458153403182	20.5769488045265	20.6330243902468	18.4377991838155
ENSG00000000457	ENSG00000000457	SCYL3	10.6299402874396	13.1574205492258	13.5689679882827	13.7596735524495	12.9953674828378	14.1419840860132	14.5774805733384	14.5069397879779	14.4530847178057	16.8869562618123
ENSG00000000460	ENSG00000000460	C1orf112	4.14826938046425	5.42574043267044	5.37772747042176	5.88464026142496	5.91513278529169	6.71145007471811	5.21110870962798	5.07742892579225	6.67832190408954	6.34122439219075
ENSG00000000938	ENSG00000000938	FGR	284.253677625406	538.188236417302	411.057817639788	471.117376223493	323.046910978544	432.928478926905	319.955262864348	284.908662204418	318.632373433924	318.715452059674
ENSG00000001036	ENSG00000001036	FUCA2	37.2696077151085	40.7834822522395	48.3639331445877	50.0194422221122	41.7196107811103	50.8951630666123	29.8702113617238	32.9460237816444	46.5156749538575	43.7337704004895
ENSG00000001084	ENSG00000001084	GCLC	47.0569307846414	47.7917303111055	91.5994374432104	125.221683210028	141.739128786952	163.951137539542	60.4216134044446	71.7711757931536	54.7888199992222	56.9331668255387
ENSG00000001167	ENSG00000001167	NFYA	25.0516580554599	29.7963578760818	38.2139177202818	42.5771030679571	34.8186225316033	36.873026303362	36.8183563078944	29.3574649919868	41.0999213699441	32.188606425577
ENSG00000001461	ENSG00000001461	NIPAL3	10.8567987691838	3.30065876320785	9.40211955093606	5.10579081505989	6.45287212940911	3.95496165117317	9.74102673825883	7.3298222086625	10.5324778288377	7.40958284957071
ENSG00000001497	ENSG00000001497	LAS1L	39.4733758234801	20.3465266225142	23.7545975017968	16.2260301326056	28.1865039541551	19.8547064710411	29.5636755552751	28.9375272612821	28.4742381681828	20.3677370423083
ENSG00000001561	ENSG00000001561	ENPP4	0.907433926976555	2.93894273436316	5.23527111358939	13.3269794155801	6.85617663749718	12.1045795990452	4.25744175623201	6.52812290459004	2.02675440870379	5.68642404734497
ENSG00000001629	ENSG00000001629	ANKIB1	18.2459036031357	23.8732579037499	42.594450692877	53.4809953170681	50.3234402869891	53.4519059522192	43.3237273114169	51.9959262926996	41.0334704057243	46.042803195472
ENSG00000001630	ENSG00000001630	CYP51A1	0.875025572441678	0.859075568506153	2.17245944169356	2.37981775278215	3.0920012286752	3.91501254358556	4.08714408598273	4.84837198177155	2.82416597934135	3.10168584400635
ENSG00000001631	ENSG00000001631	KRIT1	6.09277065255687	4.97359539661457	4.06000616972239	4.32694136869483	6.27362568136997	5.51297684708987	5.72200172037582	5.30648586981295	5.71478292290249	5.51410816712239
ENSG00000002016	ENSG00000002016	RAD52	15.2967433404619	16.1415777871946	11.4677367250053	9.82215690693726	11.8750771825932	9.14834563756218	14.6115401073882	11.4146710436984	12.2934283806623	11.1316058623783
ENSG00000002330	ENSG00000002330	BAD	4.63439469848741	4.74752287858664	3.77509345605766	3.07212837177333	4.21229152891984	3.0760812842458	4.22338222218215	3.7794395763416	4.08673429951748	6.27229804010172
ENSG00000002549	ENSG00000002549	LAP3	61.1869733618477	689.02382044554	131.202304642608	609.449691780666	146.982087392096	543.667405159754	69.9242234043545	425.091511945088	92.4665167118467	494.408723534611
ENSG00000002587	ENSG00000002587	HS3ST1	13.0605668775554	25.9983395732125	35.1154919591778	64.1252710840573	16.2666151595521	24.6885484891416	4.70021569888014	4.46661040840371	7.01057672518852	5.65196087130045
